Instanță,Cost Total
small_instance_01,14074
small_instance_02,9959
small_instance_03,8356
small_instance_04,13448
small_instance_05,17902
small_instance_06,14289
small_instance_07,9222
small_instance_08,12957
small_instance_09,8126
small_instance_10,11914
small_instance_11,12892
small_instance_12,11235
small_instance_13,15097
small_instance_14,14683
small_instance_15,15306
small_instance_16,14786
small_instance_17,15079
small_instance_18,13798
small_instance_19,11345
small_instance_20,13703
small_instance_21,20764
small_instance_22,16626
small_instance_23,10034
small_instance_24,17235
small_instance_25,11651
medium_instance_01,54097
medium_instance_02,56201
medium_instance_03,49436
medium_instance_04,58458
medium_instance_05,54490
medium_instance_06,59045
medium_instance_07,58414
medium_instance_08,60532
medium_instance_09,51776
medium_instance_10,55843
medium_instance_11,53825
medium_instance_12,56507
medium_instance_13,58922
medium_instance_14,64906
medium_instance_15,58940
medium_instance_16,53346
medium_instance_17,52253
medium_instance_18,61917
medium_instance_19,65352
medium_instance_20,55857
medium_instance_21,54543
medium_instance_22,59461
medium_instance_23,60535
medium_instance_24,54149
medium_instance_25,52142
large_instance_01,133241
large_instance_02,145698
large_instance_03,156655
large_instance_04,139586
large_instance_05,147524
large_instance_06,146346
large_instance_07,148140
large_instance_08,155066
large_instance_09,161914
large_instance_10,130525
large_instance_11,143973
large_instance_12,151279
large_instance_13,139558
large_instance_14,150504
large_instance_15,149451
large_instance_16,155298
large_instance_17,150724
large_instance_18,159540
large_instance_19,143635
large_instance_20,151613
large_instance_21,145914
large_instance_22,146475
large_instance_23,138781
large_instance_24,148864
large_instance_25,135300
