Instanta,Cost Total
small_instance_01,9274
small_instance_02,6049
small_instance_03,4914
small_instance_04,9336
small_instance_05,11674
small_instance_06,9461
small_instance_07,5691
small_instance_08,9402
small_instance_09,3038
small_instance_10,6670
small_instance_11,8125
small_instance_12,6161
small_instance_13,9522
small_instance_14,9806
small_instance_15,10575
small_instance_16,10845
small_instance_17,7723
small_instance_18,9476
small_instance_19,6784
small_instance_20,7374
small_instance_21,14058
small_instance_22,10427
small_instance_23,4629
small_instance_24,11726
small_instance_25,7322
medium_instance_01,33268
medium_instance_02,35635
medium_instance_03,30314
medium_instance_04,34300
medium_instance_05,31856
medium_instance_06,37041
medium_instance_07,36332
medium_instance_08,37626
medium_instance_09,28857
medium_instance_10,33899
medium_instance_11,32189
medium_instance_12,34884
medium_instance_13,37972
medium_instance_14,42532
medium_instance_15,37688
medium_instance_16,31817
medium_instance_17,30114
medium_instance_18,39611
medium_instance_19,42058
medium_instance_20,31438
medium_instance_21,33808
medium_instance_22,34428
medium_instance_23,37978
medium_instance_24,32080
medium_instance_25,30016
large_instance_01,86015
large_instance_02,97829
large_instance_03,105779
large_instance_04,95019
large_instance_05,99631
large_instance_06,98808
large_instance_07,101781
large_instance_08,104130
large_instance_09,110831
large_instance_10,81099
large_instance_11,95234
large_instance_12,104081
large_instance_13,92988
large_instance_14,105845
large_instance_15,101107
large_instance_16,105471
large_instance_17,103007
large_instance_18,111850
large_instance_19,96848
large_instance_20,100166
large_instance_21,98757
large_instance_22,94784
large_instance_23,93792
large_instance_24,100316
large_instance_25,87865
